品牌,车型,价格,年份,里程,燃料类型,变速器,车辆类型,数据来源,所在城市,车龄,价格区间,里程区间,排量
揽胜,揽胜 2024款 3.0 L6 400PS 盛世加长版 七座,1.9,2024,19000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
迈巴赫S级,迈巴赫S级 2021款 S 480 4MATIC,4.8,2021,48000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
迈巴赫GLS,迈巴赫GLS 2022款 GLS 480 4MATIC,2.6,2022,26000,汽油,自动,SUV,车168,北京,2,10万以下,1-3万公里,0.0
迈巴赫GLS,迈巴赫GLS 2022款 GLS 600 4MATIC 礼尚版,2.7,2022,27000,汽油,自动,SUV,车168,北京,2,10万以下,1-3万公里,0.0
星越L,星越L 2021款 2.0TD DCT EVO两驱尊贵型,5.7,2021,56800,电动,双离合,轿车,车168,北京,3,10万以下,5-10万公里,2.0
Cayenne,Cayenne 2019款 Cayenne 3.0T,10.5,2019,105000,汽油,自动,轿车,车168,北京,5,10-20万,10万公里以上,3.0
宝马,宝马i5 2024款 eDrive 35L M运动套装,0.8,2024,7700,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
Macan,Macan 2017款  Macan S 3.0T,5.6,2017,56000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,3.0
奔驰,奔驰C级 2019款 C 260 运动版,8.4,2019,84500,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
Panamera,Panamera 2017款 Panamera 3.0T,9.7,2017,96800,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,3.0
揽胜运动,揽胜运动 2020款 3.0 L6 HSE DYNAMIC,15.2,2020,152000,汽油,自动,轿车,车168,北京,4,10-20万,10万公里以上,0.0
Panamera,Panamera 2023款 改款 Panamera 2.9T 铂金版,1.9,2023,19000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,2.9
昂科威S,昂科威S 2022款 昂科威S 552T 两驱豪华型,3.1,2022,31000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
牧马人新能源,牧马人新能源 2021款 四门 2.0T 4xe 撒哈拉,2.8,2021,28000,汽油,自动,SUV,车168,北京,3,10万以下,1-3万公里,2.0
福特,福特F-150猛禽 2024款 3.5T 美规版,2.0,2024,20000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,3.5
福特,福特F-150猛禽 2023款 3.5T 猛禽烈焰风暴特别版,2.5,2023,24900,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,3.5
RAM,RAM Trucks 2023款 6.2L 自动,3.8,2023,38000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,6.2
福特,福特烈马 2024款 2.3T 荒地,1.8,2024,18000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,2.3
牧马人,牧马人 2024款 2.0T 罗宾汉四门版,0.5,2024,5000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,2.0
奔驰,奔驰GLE AMG 2022款 AMG GLE 53 4MATIC+,3.4,2022,34000,汽油,自动,SUV,车168,北京,2,10万以下,3-5万公里,0.0
奥迪,奥迪Q7 2023款 45 TFSI quattro S line运动型,1.8,2023,18200,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
Ghibli,Ghibli 2017款 3.0T 标准版,4.3,2017,43000,汽油,自动,轿车,车168,北京,7,10万以下,3-5万公里,3.0
揽胜运动,揽胜运动 2020款 3.0 L6 SE,8.2,2020,81600,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
Urus,Urus 2021款 4.0T V8,82.2,2021,821700,汽油,自动,轿车,车168,北京,3,50-100万,10万公里以上,4.0
揽胜,揽胜 2018款 3.0 SC V6 盛世版,1.8,2018,18000,汽油,自动,轿车,车168,北京,6,10万以下,1-3万公里,0.0
揽胜,揽胜 2018款 3.0 SC V6 Vogue 传世加长版,2.2,2018,21900,汽油,自动,轿车,车168,北京,6,10万以下,1-3万公里,0.0
揽胜极光新能源,揽胜极光新能源 2023款 极光L P300e 插电式电动混合版,3.2,2023,32000,电动,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
保时捷,保时捷718 2022款 Cayman 2.0T,1.8,2022,18000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,2.0
凯迪拉克,凯迪拉克ATS-L 2017款 28T 技术型,8.0,2017,80000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,0.0
奔驰,奔驰V级 2018款 V 260 L 尊贵加长版 国V,7.1,2018,70800,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,0.0
帕萨特,帕萨特 2020款 330TSI 精英版 国VI,5.8,2020,58000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
宝马,宝马X7 2021款 xDrive40i 行政型M运动套装,8.7,2021,87000,汽油,自动,SUV,车168,北京,3,10万以下,5-10万公里,0.0
埃尔法,埃尔法 2020款 双擎 2.5L 尊贵版,4.6,2020,46000,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,2.5
哈弗猛龙新能源,哈弗猛龙新能源 2023款 Hi4 145 探索版,7.0,2023,70000,汽油,自动,轿车,车168,北京,1,10万以下,5-10万公里,0.0
Model,Model Y 2022款 改款 后轮驱动版,5.9,2022,59000,汽油,自动,轿车,车168,北京,2,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2018款 C 180 L 时尚型运动版,10.9,2018,109000,汽油,自动,轿车,车168,北京,6,10-20万,10万公里以上,0.0
高尔夫,高尔夫 2017款 280TSI 自动R-Line百万辆纪念版,6.9,2017,69000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2018款 C 200 运动版,9.0,2018,90000,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,0.0
奕泽IZOA,奕泽IZOA 2020款 2.0L 奕驰版,5.0,2020,50000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,2.0
宝马,宝马X7 2020款 xDrive40i 尊享型M运动套装,2.9,2020,29000,汽油,自动,SUV,车168,北京,4,10万以下,1-3万公里,0.0
奔驰,奔驰A级AMG(进口) 2022款 AMG A 45 S 4MATIC+,0.7,2022,6899,汽油,自动,轿车,车168,北京,2,10万以下,1万公里以下,0.0
保时捷,保时捷911 2019款 Carrera S 3.0T,2.2,2019,22000,汽油,自动,轿车,车168,北京,5,10万以下,1-3万公里,3.0
宝马,宝马7系 2023款 740Li 尊享型 M运动套装,0.5,2023,5000,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,0.0
奔驰,奔驰GLC 2022款 改款 GLC 300 L 4MATIC 动感型臻藏版,6.5,2022,65000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
发现,发现 2019款 3.0 SC V6 HSE,2.1,2019,21000,汽油,自动,轿车,车168,北京,5,10万以下,1-3万公里,0.0
奥迪,奥迪A4L 2022款 40 TFSI 豪华动感型,7.0,2022,70000,汽油,自动,轿车,车168,北京,2,10万以下,5-10万公里,4.0
迈巴赫S级,迈巴赫S级 2023款 S 480 4MATIC,0.4,2023,4000,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,0.0
Taycan,Taycan 2022款 改款 Taycan,2.0,2022,20000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,0.0
路虎,路虎卫士 2024款 110 3.0T P400 X-DYNAMIC HSE,1.7,2024,17000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,3.0
宝马,宝马3系 2021款 改款 325Li M运动曜夜套装,3.7,2021,37000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
宝马,宝马1系 2023款 125i M运动曜夜版,3.5,2023,35000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
理想,理想L9 2024款 Ultra,1.9,2024,19000,电动,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
SF90,SF90 2020款 3.9T V8 Stradale,1.8,2020,18000,汽油,自动,轿车,车168,北京,4,10万以下,1-3万公里,3.9
宝马,宝马X5(进口) 2017款 xDrive35i 领先型,8.5,2017,85000,汽油,自动,SUV,车168,北京,7,10万以下,5-10万公里,0.0
揽胜,揽胜 2018款 3.0 SC V6 Vogue SE 创世加长版,6.4,2018,64000,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,0.0
别克,别克GL8 2020款 ES陆尊 653T 豪华型,5.1,2020,51000,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
别克,别克GL8 2020款 ES陆尊 653T 尊享型,7.8,2020,78000,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
宝马,宝马X5 2022款 改款 xDrive 30Li 尊享型M运动套装,6.5,2022,65000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
揽胜,揽胜 2024款 3.0 L6 400PS 创世加长版,2.7,2024,27000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
沃尔沃,沃尔沃XC60插电式混动 2025款 插电式混动 长续航四驱智远豪华版,1.6,2025,16000,电动,自动,SUV,车168,北京,-1,10万以下,1-3万公里,0.0
飞驰,飞驰 2024款 4.0T V8 标准版,0.4,2024,4000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,4.0
宝马,宝马X3 2018款 xDrive28i M运动套装 国VI,5.6,2018,56000,汽油,自动,SUV,车168,北京,6,10万以下,5-10万公里,0.0
牧马人,牧马人 2016款 3.0L Sahara 75周年致敬版,5.9,2016,59000,汽油,自动,轿车,车168,北京,8,10万以下,5-10万公里,3.0
路虎,路虎卫士 2023款 90 3.0T P400 XS,5.6,2023,56000,汽油,自动,SUV,车168,北京,1,10万以下,5-10万公里,3.0
蔚来,蔚来ES8 2024款 75kWh,1.2,2024,12000,电动,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奥迪,奥迪A5(进口) 2019款 Coupe 40 TFSI 时尚型 国V,11.1,2019,111000,汽油,自动,轿车,车168,北京,5,10-20万,10万公里以上,0.0
威尔法,威尔法 2021款 皇冠 双擎 2.5L HV至尊版,2.4,2021,24000,汽油,自动,轿车,车168,北京,3,10万以下,1-3万公里,2.5
